Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
"(Lucknow Super Giants, Rajasthan Royals, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
TH David,2022-2025,17,14,6,326,46,40.75,173,188.43,0,0,1,14,28,
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
RD Gaikwad,2021-2024,11,11,1,316,69,31.60,266,118.79,0,3,1,28,12,
(Chennai Super Kings),,,,,,,,,,,,,,,
AB de Villiers,2011-2021,11,9,1,307,133*,38.37,189,162.43,1,1,0,33,13,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
CH Gayle,2011-2021,10,10,1,301,82*,33.44,218,138.07,0,2,0,22,23,
"(Kings XI Punjab, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
YK Pathan,2008-2018,10,10,3,280,52,40.00,217,129.03,0,1,0,27,10,
"(Kolkata Knight Riders, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
S Dube,2021-2025,12,12,1,275,66*,25.00,212,129.71,0,2,1,28,10,
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,,
DA Warner,2011-2024,10,10,0,274,66,27.40,176,155.68,0,2,0,33,13,
"(Delhi Capitals, Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SE Marsh,2008-2017,6,6,1,268,81,53.60,188,142.55,0,3,0,24,10,
(Kings XI Punjab),,,,,,,,,,,,,,,
MK Pandey,2012-2025,10,10,2,266,81*,33.25,199,133.66,0,2,1,21,11,
"(Kolkata Knight Riders, Lucknow Super Giants, Pune Warriors, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
DJ Hooda,2015-2024,11,11,1,262,64,26.20,188,139.36,0,3,0,23,11,
"(Lucknow Super Giants, Punjab Kings, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
