Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
"(Kings XI Punjab, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
N Pooran,2019-2025,4,4,2,183,70,91.50,75,244.00,0,1,0,17,13,
"(Kings XI Punjab, Lucknow Super Giants)",,,,,,,,,,,,,,,
Yuvraj Singh,2008-2017,13,12,1,179,62,16.27,159,112.57,0,1,1,16,7,
"(Kings XI Punjab, Pune Warriors, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
DA Miller,2012-2025,7,7,4,175,89*,58.33,121,144.62,0,1,0,10,10,
"(Kings XI Punjab, Lucknow Super Giants)",,,,,,,,,,,,,,,
A Symonds,2008-2011,3,3,2,173,117*,173.00,99,174.74,1,0,0,17,8,
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,,
GH Vihari,2013-2015,9,9,2,173,46,24.71,183,94.53,0,0,0,13,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
SR Watson,2008-2019,8,8,0,172,80,21.50,162,106.17,0,1,0,14,7,
"(Chennai Super Kings, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
AJ Finch,2011-2018,8,8,2,169,68,28.16,155,109.03,0,2,1,14,4,
"(Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
DJ Hooda,2016-2024,20,15,4,165,32*,15.00,159,103.77,0,0,0,9,3,
"(Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
G Gambhir,2008-2017,6,6,1,164,90*,32.80,129,127.13,0,1,0,21,2,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
CL White,2008-2013,12,12,1,153,65,13.90,161,95.03,0,1,1,12,4,
"(Deccan Chargers, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
PA Reddy,2012-2013,7,7,0,149,42,21.28,136,109.55,0,0,0,13,2,
