Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
MK Tiwary,2008-2017,12,10,5,227,61*,45.40,178,127.52,0,2,1,21,6,
"(Delhi Daredevils, Kolkata Knight Riders, Rising Pune Supergiant)",,,,,,,,,,,,,,,
RV Uthappa,2008-2019,10,10,1,227,72,25.22,161,140.99,0,1,0,24,6,
"(Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
BB McCullum,2011-2017,6,6,0,218,60,36.33,166,131.32,0,2,0,28,5,
"(Chennai Super Kings, Gujarat Lions, Kochi Tuskers Kerala, Kolkata Knight Riders)",,,,,,,,,,,,,,,
AD Russell,2012-2025,9,7,1,216,62,36.00,131,164.88,0,1,0,13,19,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
PA Patel,2010-2019,10,10,1,207,45,23.00,159,130.18,0,0,0,30,3,
"(Chennai Super Kings, Deccan Chargers, Kochi Tuskers Kerala, Mumbai Indians, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
PD Collingwood,2010-2010,5,5,2,199,75*,66.33,148,134.45,0,3,0,9,13,
(Delhi Daredevils),,,,,,,,,,,,,,,
SA Yadav,2014-2025,12,11,0,198,40,18.00,139,142.44,0,0,1,18,8,
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
IK Pathan,2008-2014,24,18,7,193,36,17.54,181,106.62,0,0,2,13,7,
"(Delhi Daredevils, Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SR Tendulkar,2008-2013,5,5,1,188,63,47.00,152,123.68,0,2,0,20,4,
(Mumbai Indians),,,,,,,,,,,,,,,
LRPL Taylor,2008-2012,9,9,0,187,55,20.77,146,128.08,0,1,1,12,9,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
MS Dhoni,2008-2023,12,9,3,186,44,31.00,166,112.04,0,0,0,13,5,
"(Chennai Super Kings, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,,
MA Agarwal,2012-2023,11,10,1,177,52*,19.66,156,113.46,0,1,0,21,4,
"(Delhi Daredevils, Kings XI Punjab, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Abhishek Sharma,2018-2024,5,5,2,176,67,58.66,81,217.28,0,1,0,17,12,
"(Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
PD Salt,2023-2023,5,5,0,175,87,35.00,106,165.09,0,2,0,21,6,
(Delhi Capitals),,,,,,,,,,,,,,,
CH Morris,2013-2021,15,8,3,170,82*,34.00,88,193.18,0,1,1,11,13,
"(Chennai Super Kings, Delhi Capitals, Delhi Daredevils, Rajasthan Royals)",,,,,,,,,,,,,,,
V Shankar,2018-2023,10,9,5,170,43*,42.50,136,125.00,0,0,0,14,5,
"(Delhi Daredevils, Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
R Dravid,2008-2013,5,5,0,169,65,33.80,138,122.46,0,1,0,20,3,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
YK Pathan,2008-2019,11,9,3,166,59,27.66,129,128.68,0,1,0,18,5,
"(Kolkata Knight Riders, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
NT Tilak Varma,2023-2025,3,3,0,163,63,54.33,94,173.40,0,2,0,11,11,
(Mumbai Indians),,,,,,,,,,,,,,,
RA Jadeja,2008-2023,14,9,6,159,29,53.00,122,130.32,0,0,0,10,7,
"(Chennai Super Kings, Gujarat Lions, Kochi Tuskers Kerala, Rajasthan Royals)",,,,,,,,,,,,,,,
JH Kallis,2008-2014,5,5,1,159,54,39.75,130,122.30,0,2,0,18,2,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
HH Pandya,2015-2025,10,9,2,159,46,22.71,88,180.68,0,0,1,10,12,
"(Gujarat Titans, Mumbai Indians)",,,,,,,,,,,,,,,
RD Gaikwad,2021-2023,3,3,0,158,79,52.66,98,161.22,0,2,0,16,7,
(Chennai Super Kings),,,,,,,,,,,,,,,
SW Billings,2016-2018,5,5,0,155,55,31.00,111,139.63,0,2,0,15,4,
"(Chennai Super Kings, Delhi Daredevils)",,,,,,,,,,,,,,,
Y Nagar,2011-2012,12,10,2,155,27,19.37,119,130.25,0,0,1,12,7,
(Delhi Daredevils),,,,,,,,,,,,,,,
KS Williamson,2017-2021,4,4,2,153,83*,76.50,108,141.66,0,1,0,14,4,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
MEK Hussey,2013-2013,2,2,2,151,86*,-,108,139.81,0,2,0,16,4,
(Chennai Super Kings),,,,,,,,,,,,,,,
KL Rahul,2014-2025,8,7,0,141,41,20.14,116,121.55,0,0,0,12,4,
"(Delhi Capitals, Kings XI Punjab, Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AB de Villiers,2008-2019,9,7,2,139,72*,27.80,90,154.44,0,1,1,9,9,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
M Vijay,2010-2016,9,9,1,133,35,16.62,113,117.69,0,0,1,12,3,
"(Chennai Super Kings, Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,,
SE Marsh,2008-2016,5,5,0,128,95,25.60,86,148.83,0,1,0,15,6,
(Kings XI Punjab),,,,,,,,,,,,,,,
B Sai Sudharsan,2023-2024,2,2,1,127,65,127.00,87,145.97,0,2,0,11,4,
(Gujarat Titans),,,,,,,,,,,,,,,
SR Watson,2008-2019,6,6,2,123,44,30.75,93,132.25,0,0,0,12,6,
"(Chennai Super Kings, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
CJ Anderson,2017-2017,6,6,3,114,41*,38.00,80,142.50,0,0,0,7,8,
(Delhi Daredevils),,,,,,,,,,,,,,,
MR Marsh,2010-2023,6,6,0,111,63,18.50,92,120.65,0,1,0,5,7,
"(Deccan Chargers, Delhi Capitals)",,,,,,,,,,,,,,,
KC Sangakkara,2010-2013,4,4,0,111,49,27.75,100,111.00,0,0,0,16,1,
"(Deccan Chargers, Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
DJ Hussey,2010-2013,4,4,1,109,40*,36.33,98,111.22,0,0,0,8,5,
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
R Parag,2019-2025,5,5,2,108,50,36.00,97,111.34,0,1,0,7,6,
(Rajasthan Royals),,,,,,,,,,,,,,,
BJ Hodge,2011-2013,4,4,2,105,54*,52.50,67,156.71,0,1,0,8,6,
"(Kochi Tuskers Kerala, Rajasthan Royals)",,,,,,,,,,,,,,,
SS Tiwary,2010-2016,6,4,1,105,61,35.00,79,132.91,0,1,0,7,5,
"(Delhi Daredevils, Mumbai Indians, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
AD Mathews,2010-2017,9,7,2,103,28,20.60,68,151.47,0,0,1,11,3,
