Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
RM Patidar,2024-2025,11,11,0,215,52,19.54,162,132.71,0,1,0,12,13,
(Royal Challengers Bengaluru),,,,,,,,,,,,,,,
MP Stoinis,2018-2025,9,9,3,210,65,35.00,134,156.71,0,1,1,12,15,
"(Kings XI Punjab, Lucknow Super Giants, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
DR Smith,2008-2016,7,6,0,197,73,32.83,120,164.16,0,1,0,19,12,
"(Chennai Super Kings, Gujarat Lions, Mumbai Indians)",,,,,,,,,,,,,,,
AR Patel,2014-2025,10,9,3,192,57,32.00,118,162.71,0,1,0,20,8,
"(Delhi Capitals, Kings XI Punjab)",,,,,,,,,,,,,,,
JP Duminy,2010-2018,5,5,3,187,67*,93.50,126,148.41,0,1,0,14,9,
"(Delhi Daredevils, Mumbai Indians)",,,,,,,,,,,,,,,
SS Iyer,2015-2025,6,6,1,185,67,37.00,137,135.03,0,2,1,15,8,
"(Delhi Capitals, Delhi Daredevils, Kolkata Knight Riders, Punjab Kings)",,,,,,,,,,,,,,,
TM Head,2016-2024,4,4,2,183,102,91.50,98,186.73,1,1,1,12,13,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
CA Lynn,2016-2019,6,6,1,180,62*,36.00,127,141.73,0,2,0,16,9,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
KS Williamson,2015-2019,4,4,1,180,81,60.00,120,150.00,0,2,0,14,10,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
SV Samson,2014-2023,6,6,1,177,92*,35.40,107,165.42,0,1,0,8,15,
"(Delhi Daredevils, Rajasthan Royals)",,,,,,,,,,,,,,,
AJ Finch,2012-2018,7,7,0,169,72,24.14,126,134.12,0,1,1,17,8,
"(Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Pune Warriors, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SK Raina,2008-2019,11,11,1,167,62,16.70,131,127.48,0,1,3,14,10,
"(Chennai Super Kings, Gujarat Lions)",,,,,,,,,,,,,,,
RR Pant,2017-2019,3,3,0,160,85,53.33,98,163.26,0,2,0,11,11,
"(Delhi Capitals, Delhi Daredevils)",,,,,,,,,,,,,,,
MM Ali,2018-2023,7,7,2,159,65,31.80,91,174.72,0,1,0,10,12,
"(Chennai Super Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
MS Bisla,2010-2015,5,5,0,159,75,31.80,115,138.26,0,1,0,15,8,
"(Kings XI Punjab, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
MK Lomror,2019-2024,12,10,2,151,34,18.87,91,165.93,0,0,1,7,12,
"(Rajasthan Royals, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
SP Narine,2013-2024,10,7,2,151,54,30.20,81,186.41,0,1,0,13,11,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
N Pooran,2019-2024,3,3,1,148,62,74.00,68,217.64,0,1,0,6,17,
"(Kings XI Punjab, Lucknow Super Giants)",,,,,,,,,,,,,,,
N Rana,2016-2025,6,6,1,148,48,29.60,103,143.68,0,0,0,10,8,
"(Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
SR Tendulkar,2008-2013,6,6,2,148,55*,37.00,138,107.24,0,1,1,20,1,
(Mumbai Indians),,,,,,,,,,,,,,,
TH David,2023-2025,5,5,2,146,50*,48.66,86,169.76,0,1,0,12,10,
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
KK Nair,2013-2018,5,5,1,143,56,35.75,113,126.54,0,2,1,18,1,
"(Delhi Daredevils, Kings XI Punjab, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
CL White,2008-2013,8,7,1,143,52,23.83,94,152.12,0,1,1,8,9,
"(Deccan Chargers, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
M Vohra,2013-2018,7,6,0,141,67,23.50,120,117.50,0,1,1,9,7,
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
DA Miller,2013-2024,8,8,1,139,66,19.85,102,136.27,0,1,0,15,5,
"(Gujarat Titans, Kings XI Punjab)",,,,,,,,,,,,,,,
AD Russell,2015-2024,6,5,1,133,48*,33.25,57,233.33,0,0,1,7,14,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
SPD Smith,2012-2019,5,4,1,132,48*,44.00,90,146.66,0,0,0,13,5,
"(Pune Warriors, Rajasthan Royals, Rising Pune Supergiant)",,,,,,,,,,,,,,,
RA Jadeja,2008-2024,13,11,2,131,42*,14.55,113,115.92,0,0,0,9,5,
"(Chennai Super Kings, Gujarat Lions, Kochi Tuskers Kerala, Rajasthan Royals)",,,,,,,,,,,,,,,
KH Pandya,2016-2025,11,9,3,130,45*,21.66,108,120.37,0,0,1,14,2,
"(Lucknow Super Giants, Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
Shubman Gill,2018-2025,5,5,3,128,104*,64.00,78,164.10,1,0,0,7,9,
"(Gujarat Titans, Kolkata Knight Riders)",,,,,,,,,,,,,,,
JC Buttler,2016-2025,5,5,2,127,73*,42.33,71,178.87,0,1,1,8,10,
"(Gujarat Titans, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
AC Gilchrist,2008-2013,4,4,1,127,85*,42.33,85,149.41,0,1,1,15,5,
"(Deccan Chargers, Kings XI Punjab)",,,,,,,,,,,,,,,
SN Khan,2015-2018,9,7,4,125,45*,41.66,56,223.21,0,0,1,15,5,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
C de Grandhomme,2017-2019,8,8,3,121,40,24.20,80,151.25,0,0,1,3,10,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
C Green,2023-2024,7,7,2,121,38*,24.20,82,147.56,0,0,0,10,7,
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
V Sehwag,2008-2014,6,6,0,121,47,20.16,88,137.50,0,0,1,21,1,
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,,
LRPL Taylor,2008-2010,5,5,1,121,53,30.25,73,165.75,0,1,0,10,7,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
STR Binny,2013-2019,14,8,1,120,33,17.14,78,153.84,0,0,0,10,6,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
D Padikkal,2023-2025,5,5,0,113,52,22.60,83,136.14,0,2,0,12,4,
"(Lucknow Super Giants, Rajasthan Royals, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
V Shankar,2017-2024,5,4,0,112,53,28.00,77,145.45,0,1,0,11,6,
"(Delhi Daredevils, Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
PD Salt,2024-2025,5,5,0,111,37,22.20,77,144.15,0,0,0,12,6,
"(Kolkata Knight Riders, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
SA Yadav,2014-2023,8,7,2,108,38,21.60,87,124.13,0,0,0,11,2,
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
HH Pandya,2015-2023,6,4,3,107,50,107.00,66,162.12,0,1,0,7,7,
"(Gujarat Titans, Mumbai Indians)",,,,,,,,,,,,,,,
MEK Hussey,2008-2013,4,4,0,106,49,26.50,88,120.45,0,0,0,12,3,
(Chennai Super Kings),,,,,,,,,,,,,,,
D Wiese,2015-2023,8,6,4,106,47*,53.00,67,158.20,0,0,0,10,5,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
P Negi,2016-2019,13,11,1,103,32,10.30,88,117.04,0,0,2,7,4,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
W Jaffer,2008-2008,4,4,0,100,50,25.00,90,111.11,0,1,1,11,2,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
YBK Jaiswal,2023-2025,2,2,0,96,49,48.00,56,171.42,0,0,0,12,5,
(Rajasthan Royals),,,,,,,,,,,,,,,
R Vinay Kumar,2008-2013,24,10,3,95,25,13.57,89,106.74,0,0,0,5,2,
"(Kochi Tuskers Kerala, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
SO Hetmyer,2019-2025,4,4,0,94,75,23.50,70,134.28,0,1,0,5,6,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
P Kumar,2008-2016,18,12,3,93,34,10.33,86,108.13,0,0,2,8,6,
"(Gujarat Lions, Kings XI Punjab, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
LS Livingstone,2019-2025,5,5,1,90,54,22.50,72,125.00,0,1,0,4,7,
"(Punjab Kings, Rajasthan Royals, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
Gurkeerat Singh,2016-2019,3,3,0,89,65,29.66,69,128.98,0,1,0,11,1,
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Anuj Rawat,2023-2024,7,6,3,88,25*,29.33,89,98.87,0,0,0,8,1,
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
NV Ojha,2010-2017,7,6,0,87,33,14.50,79,110.12,0,0,1,7,3,
"(Delhi Daredevils, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JD Ryder,2011-2012,2,2,0,85,51,42.50,56,151.78,0,1,0,8,3,
(Pune Warriors),,,,,,,,,,,,,,,
JM Sharma,2024-2025,5,5,1,85,33,21.25,69,123.18,0,0,0,10,3,
"(Punjab Kings, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
NT Tilak Varma,2023-2023,1,1,1,84,84*,-,46,182.60,0,1,0,9,4,
(Mumbai Indians),,,,,,,,,,,,,,,
DP Conway,2023-2023,1,1,0,83,83,83.00,45,184.44,0,1,0,6,6,
(Chennai Super Kings),,,,,,,,,,,,,,,
DJ Bravo,2011-2019,8,8,2,82,33*,13.66,51,160.78,0,0,0,7,4,
"(Chennai Super Kings, Gujarat Lions)",,,,,,,,,,,,,,,
VR Iyer,2023-2024,2,2,0,81,50,40.50,56,144.64,0,1,0,6,4,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
DC Jurel,2023-2025,2,2,1,81,47,81.00,50,162.00,0,0,0,5,5,
(Rajasthan Royals),,,,,,,,,,,,,,,
R Ashwin,2010-2023,10,7,2,79,33,15.80,51,154.90,0,0,0,7,3,
"(Chennai Super Kings, Kings XI Punjab, Rajasthan Royals, Rising Pune Supergiants)",,,,,,,,,,,,,,,
SE Marsh,2008-2017,5,5,0,79,39,15.80,73,108.21,0,0,0,10,1,
(Kings XI Punjab),,,,,,,,,,,,,,,
S Badrinath,2008-2013,5,4,1,78,47,26.00,66,118.18,0,0,1,11,2,
(Chennai Super Kings),,,,,,,,,,,,,,,
TL Suman,2010-2010,1,1,1,78,78*,-,57,136.84,0,1,0,6,3,
(Deccan Chargers),,,,,,,,,,,,,,,
RS Bopara,2010-2015,2,1,0,77,77,77.00,50,154.00,0,1,0,9,2,
"(Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
DPMD Jayawardene,2008-2013,4,4,2,74,28,37.00,73,101.36,0,0,0,7,1,
"(Delhi Daredevils, Kings XI Punjab, Kochi Tuskers Kerala)",,,,,,,,,,,,,,,
H Klaasen,2019-2024,2,2,0,73,67,36.50,38,192.10,0,1,0,2,7,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SP Goswami,2008-2018,4,2,0,72,52,36.00,66,109.09,0,1,0,8,1,
"(Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MK Tiwary,2010-2017,5,5,1,71,27,17.75,58,122.41,0,0,1,6,2,
"(Kolkata Knight Riders, Rising Pune Supergiant)",,,,,,,,,,,,,,,
R McLaren,2010-2013,3,3,0,70,40,23.33,77,90.90,0,0,0,5,0,
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
S Dube,2019-2024,3,3,1,68,52,34.00,47,144.68,0,1,0,2,6,
"(Chennai Super Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
IK Pathan,2008-2014,5,5,4,67,24,67.00,43,155.81,0,0,0,6,3,
"(Delhi Daredevils, Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Azhar Mahmood,2012-2013,2,2,0,63,61,31.50,45,140.00,0,1,0,8,1,
(Kings XI Punjab),,,,,,,,,,,,,,,
MV Boucher,2008-2011,10,8,2,63,18,10.50,66,95.45,0,0,0,6,1,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Iqbal Abdulla,2011-2017,6,4,3,62,33*,62.00,49,126.53,0,0,0,8,1,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
LMP Simmons,2015-2017,2,2,0,62,59,31.00,50,124.00,0,1,0,9,2,
(Mumbai Indians),,,,,,,,,,,,,,,
R Ravindra,2024-2024,1,1,0,61,61,61.00,37,164.86,0,1,0,5,3,
(Chennai Super Kings),,,,,,,,,,,,,,,
JJ Roy,2018-2023,2,2,0,61,56,30.50,45,135.55,0,1,0,4,5,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
M Vijay,2010-2016,7,7,0,61,32,8.71,57,107.01,0,0,0,5,3,
