Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
SA Yadav,2018-2024,3,3,0,116,72,38.66,88,131.81,0,1,0,9,4,
(Mumbai Indians),,,,,,,,,,,,,,,
S Dhawan,2008-2019,5,5,0,115,54,23.00,79,145.56,0,2,1,17,2,
"(Deccan Chargers, Delhi Capitals, Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
D Padikkal,2023-2025,6,6,2,109,40*,27.25,81,134.56,0,0,1,16,1,
"(Lucknow Super Giants, Rajasthan Royals, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
M Vijay,2011-2013,3,3,0,108,55,36.00,95,113.68,0,2,1,8,3,
(Chennai Super Kings),,,,,,,,,,,,,,,
AT Rayudu,2010-2023,7,6,0,107,57,17.83,103,103.88,0,1,2,7,3,
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,,
Yuvraj Singh,2008-2013,4,4,0,107,57,26.75,72,148.61,0,1,0,8,7,
"(Kings XI Punjab, Pune Warriors)",,,,,,,,,,,,,,,
F du Plessis,2019-2024,3,3,0,106,55,35.33,87,121.83,0,1,0,5,4,
"(Chennai Super Kings, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
MEK Hussey,2011-2013,3,3,0,105,46,35.00,102,102.94,0,0,0,16,0,
(Chennai Super Kings),,,,,,,,,,,,,,,
JH Kallis,2008-2013,5,5,1,105,80*,26.25,106,99.05,0,1,2,9,2,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
V Sehwag,2008-2013,4,4,0,105,73,26.25,67,156.71,0,1,0,17,1,
(Delhi Daredevils),,,,,,,,,,,,,,,
MJ Lumb,2010-2010,3,3,0,100,83,33.33,57,175.43,0,1,0,19,2,
(Rajasthan Royals),,,,,,,,,,,,,,,
KP Pietersen,2010-2012,2,2,0,98,62,49.00,63,155.55,0,1,0,13,3,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
DJ Hussey,2008-2013,3,3,0,96,42,32.00,71,135.21,0,0,0,6,3,
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
DR Smith,2008-2012,2,2,1,95,87*,95.00,65,146.15,0,1,0,11,3,
(Mumbai Indians),,,,,,,,,,,,,,,
K Gowtham,2018-2019,10,8,2,93,33*,15.50,43,216.27,0,0,0,5,8,
(Rajasthan Royals),,,,,,,,,,,,,,,
DPMD Jayawardene,2008-2013,5,5,0,93,44,18.60,84,110.71,0,0,1,12,2,
"(Delhi Daredevils, Kings XI Punjab, Kochi Tuskers Kerala)",,,,,,,,,,,,,,,
JP Duminy,2010-2012,2,2,1,89,58*,89.00,58,153.44,0,1,0,7,5,
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,,
OA Shah,2012-2013,7,7,3,89,28*,22.25,73,121.91,0,0,0,6,3,
(Rajasthan Royals),,,,,,,,,,,,,,,
AC Gilchrist,2008-2013,3,3,0,88,61,29.33,69,127.53,0,1,1,12,2,
"(Deccan Chargers, Kings XI Punjab)",,,,,,,,,,,,,,,
KD Karthik,2008-2024,7,4,1,85,42*,28.33,72,118.05,0,0,1,6,2,
"(Delhi Daredevils, Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
SP Narine,2012-2019,4,4,1,84,47,28.00,53,158.49,0,0,1,11,4,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
Y Venugopal Rao,2008-2011,2,2,1,83,60,83.00,51,162.74,0,1,0,7,5,
"(Deccan Chargers, Delhi Daredevils)",,,,,,,,,,,,,,,
MK Tiwary,2011-2018,4,3,0,80,59,26.66,70,114.28,0,1,0,8,0,
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
DH Yagnik,2011-2013,12,7,3,80,34,20.00,60,133.33,0,0,0,10,2,
(Rajasthan Royals),,,,,,,,,,,,,,,
KC Sangakkara,2008-2013,4,4,0,77,44,19.25,51,150.98,0,0,0,10,2,
"(Deccan Chargers, Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
HH Pandya,2018-2024,4,4,1,76,39*,25.33,42,180.95,0,0,0,7,4,
"(Gujarat Titans, Mumbai Indians)",,,,,,,,,,,,,,,
AS Raut,2010-2011,7,4,3,76,32*,76.00,59,128.81,0,0,0,4,4,
(Rajasthan Royals),,,,,,,,,,,,,,,
KS Williamson,2018-2019,2,2,0,76,63,38.00,57,133.33,0,1,0,9,2,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
B Sai Sudharsan,2024-2025,2,2,0,74,39,37.00,59,125.42,0,0,0,7,2,
(Gujarat Titans),,,,,,,,,,,,,,,
AK Markram,2023-2025,2,2,0,72,66,36.00,50,144.00,0,1,0,6,3,
"(Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
GJ Maxwell,2018-2024,3,3,0,72,54,24.00,48,150.00,0,1,0,7,4,
"(Delhi Daredevils, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
Q de Kock,2019-2024,2,2,0,69,65,34.50,52,132.69,0,1,0,7,2,
"(Lucknow Super Giants, Mumbai Indians)",,,,,,,,,,,,,,,
MP Stoinis,2018-2024,4,4,1,66,31*,22.00,64,103.12,0,0,0,4,1,
"(Kings XI Punjab, Lucknow Super Giants, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
JA Morkel,2008-2012,3,3,2,65,42,65.00,43,151.16,0,0,0,5,3,
(Chennai Super Kings),,,,,,,,,,,,,,,
PD Salt,2025-2025,1,1,0,65,65,65.00,33,196.96,0,1,0,5,6,
(Royal Challengers Bengaluru),,,,,,,,,,,,,,,
NT Tilak Varma,2024-2024,1,1,0,65,65,65.00,45,144.44,0,1,0,5,3,
(Mumbai Indians),,,,,,,,,,,,,,,
BJ Rohrer,2013-2013,1,1,1,64,64*,-,40,160.00,0,1,0,9,1,
(Delhi Daredevils),,,,,,,,,,,,,,,
MR Marsh,2013-2025,3,3,1,62,35*,31.00,39,158.97,0,0,0,7,3,
"(Delhi Capitals, Lucknow Super Giants, Pune Warriors)",,,,,,,,,,,,,,,
NV Ojha,2010-2012,5,5,2,62,44*,20.66,56,110.71,0,0,2,6,2,
"(Delhi Daredevils, Rajasthan Royals)",,,,,,,,,,,,,,,
KA Pollard,2010-2019,6,5,1,61,25,15.25,62,98.38,0,0,0,4,3,
(Mumbai Indians),,,,,,,,,,,,,,,
DJG Sammy,2013-2013,1,1,0,60,60,60.00,41,146.34,0,1,0,8,1,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
Ishan Kishan,2018-2024,2,2,0,58,58,29.00,45,128.88,0,1,1,4,3,
(Mumbai Indians),,,,,,,,,,,,,,,
H Klaasen,2018-2023,3,3,0,58,32,19.33,34,170.58,0,0,1,5,3,
"(Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
WP Saha,2008-2023,5,4,2,58,41*,29.00,48,120.83,0,0,0,6,0,
"(Chennai Super Kings, Gujarat Titans, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AJ Finch,2011-2013,2,2,0,56,45,28.00,46,121.73,0,0,0,8,1,
"(Delhi Daredevils, Pune Warriors)",,,,,,,,,,,,,,,
M Kaif,2008-2011,8,5,1,56,21,14.00,60,93.33,0,0,0,6,1,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
AC Voges,2010-2010,3,2,1,56,28*,56.00,54,103.70,0,0,0,5,0,
(Rajasthan Royals),,,,,,,,,,,,,,,
Abhishek Sharma,2023-2023,1,1,0,55,55,55.00,34,161.76,0,1,0,5,2,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
SC Ganguly,2008-2012,2,2,0,53,51,26.50,43,123.25,0,1,0,4,2,
"(Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,,
