Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
(Chennai Super Kings),,,,,,,,,,,,,,,
C Green,2023-2024,4,3,0,90,33,30.00,67,134.32,0,0,0,4,6,
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
KA Pollard,2014-2015,2,2,1,84,70,84.00,46,182.60,0,1,0,7,6,
(Mumbai Indians),,,,,,,,,,,,,,,
R Parag,2022-2025,5,4,0,82,36,20.50,62,132.25,0,0,0,4,5,
(Rajasthan Royals),,,,,,,,,,,,,,,
MM Ali,2023-2024,3,2,0,79,56,39.50,53,149.05,0,1,0,8,5,
(Chennai Super Kings),,,,,,,,,,,,,,,
CH Gayle,2015-2021,4,4,0,79,46,19.75,51,154.90,0,0,1,10,4,
"(Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
AR Patel,2015-2025,7,3,1,78,39,39.00,69,113.04,0,0,0,4,3,
"(Delhi Capitals, Kings XI Punjab)",,,,,,,,,,,,,,,
BJ Hodge,2010-2014,2,2,0,76,40,38.00,64,118.75,0,0,0,3,3,
"(Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
V Sehwag,2010-2015,2,2,0,76,75,38.00,38,200.00,0,1,0,8,5,
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,,
MJ Lumb,2010-2010,3,3,0,75,45,25.00,49,153.06,0,0,1,10,2,
(Rajasthan Royals),,,,,,,,,,,,,,,
Rashid Khan,2022-2025,20,11,5,74,31,12.33,47,157.44,0,0,2,5,4,
(Gujarat Titans),,,,,,,,,,,,,,,
S Dube,2023-2024,3,3,1,72,32*,36.00,52,138.46,0,0,0,2,4,
(Chennai Super Kings),,,,,,,,,,,,,,,
MK Tiwary,2010-2014,2,2,1,72,61*,72.00,57,126.31,0,1,0,7,2,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
Q de Kock,2023-2023,1,1,0,70,70,70.00,41,170.73,0,1,0,7,3,
(Lucknow Super Giants),,,,,,,,,,,,,,,
JP Faulkner,2014-2015,8,7,4,70,31*,23.33,50,140.00,0,0,0,1,5,
(Rajasthan Royals),,,,,,,,,,,,,,,
KD Karthik,2010-2024,8,6,2,69,23*,17.25,70,98.57,0,0,0,6,1,
"(Delhi Daredevils, Kolkata Knight Riders, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
AR Sharma,2024-2025,2,2,0,68,37,34.00,36,188.88,0,0,0,5,4,
"(Delhi Capitals, Punjab Kings)",,,,,,,,,,,,,,,
F du Plessis,2015-2024,4,4,0,67,25,16.75,56,119.64,0,0,0,6,4,
"(Chennai Super Kings, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
SE Marsh,2015-2015,1,1,0,65,65,65.00,40,162.50,0,1,0,5,3,
(Kings XI Punjab),,,,,,,,,,,,,,,
RV Uthappa,2014-2014,1,1,0,65,65,65.00,52,125.00,0,1,0,5,3,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
G Gambhir,2010-2014,2,2,0,63,54,31.50,42,150.00,0,1,0,7,1,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
DJ Mitchell,2024-2024,1,1,0,63,63,63.00,34,185.29,0,1,0,7,3,
(Chennai Super Kings),,,,,,,,,,,,,,,
M Vijay,2010-2015,2,2,0,63,42,31.50,46,136.95,0,0,0,4,4,
"(Chennai Super Kings, Kings XI Punjab)",,,,,,,,,,,,,,,
DJ Bravo,2015-2015,1,1,1,62,62*,-,36,172.22,0,1,0,8,1,
