Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
DR Smith,2012-2017,9,8,0,222,62,27.75,170,130.58,0,3,1,25,9,
"(Chennai Super Kings, Gujarat Lions, Mumbai Indians)",,,,,,,,,,,,,,,
GJ Maxwell,2012-2025,9,9,1,213,68,26.62,141,151.06,0,1,0,19,13,
"(Delhi Daredevils, Kings XI Punjab, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
DPMD Jayawardene,2008-2013,4,4,2,212,110*,106.00,148,143.24,1,1,0,28,4,
"(Delhi Daredevils, Kings XI Punjab, Kochi Tuskers Kerala)",,,,,,,,,,,,,,,
DB Das,2008-2013,15,11,4,203,35*,29.00,156,130.12,0,0,1,14,12,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
RA Jadeja,2008-2023,13,12,7,201,36*,40.20,137,146.71,0,0,1,13,12,
"(Chennai Super Kings, Gujarat Lions, Kochi Tuskers Kerala, Rajasthan Royals)",,,,,,,,,,,,,,,
EJG Morgan,2010-2015,14,11,1,200,47,20.00,151,132.45,0,0,0,21,9,
"(Kolkata Knight Riders, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
RM Patidar,2022-2025,3,3,1,198,112*,99.00,93,212.90,1,1,0,20,13,
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
KA Pollard,2011-2019,10,8,2,192,60*,32.00,135,142.22,0,1,0,15,9,
(Mumbai Indians),,,,,,,,,,,,,,,
N Pooran,2023-2025,3,3,1,190,87*,95.00,98,193.87,0,2,0,13,17,
(Lucknow Super Giants),,,,,,,,,,,,,,,
HH Pandya,2015-2024,8,8,2,188,91,31.33,112,167.85,0,1,1,13,12,
"(Gujarat Titans, Mumbai Indians)",,,,,,,,,,,,,,,
Rahmanullah Gurbaz,2023-2025,8,8,1,183,81,26.14,132,138.63,0,2,1,13,13,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
KL Rahul,2016-2024,5,4,0,179,79,44.75,117,152.99,0,2,0,15,9,
"(Kings XI Punjab, Lucknow Super Giants, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Salman Butt,2008-2008,4,4,0,169,73,42.25,137,123.35,0,1,0,27,1,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
RA Tripathi,2017-2024,5,5,0,169,93,33.80,104,162.50,0,1,0,16,11,
"(Rajasthan Royals, Rising Pune Supergiant, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AB de Villiers,2008-2018,8,7,1,159,59*,26.50,99,160.60,0,1,1,12,10,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
DA Warner,2010-2019,7,7,0,158,85,22.57,128,123.43,0,1,1,20,4,
"(Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SR Watson,2008-2019,8,7,0,157,44,22.42,129,121.70,0,0,0,21,4,
"(Chennai Super Kings, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
JJ Roy,2018-2023,5,5,0,155,61,31.00,89,174.15,0,1,0,22,6,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
SS Tiwary,2010-2017,6,5,1,154,52,38.50,129,119.37,0,1,0,18,3,
"(Delhi Daredevils, Mumbai Indians, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
LR Shukla,2008-2013,17,12,3,153,40*,17.00,113,135.39,0,0,1,15,6,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
A Raghuvanshi,2024-2025,10,7,1,152,50,25.33,99,153.53,0,1,0,16,5,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
Prabhsimran Singh,2023-2025,3,3,0,149,83,49.66,77,193.50,0,2,0,13,11,
(Punjab Kings),,,,,,,,,,,,,,,
JM Bairstow,2019-2024,2,2,1,147,108*,147.00,83,177.10,1,0,0,11,10,
"(Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
M Vohra,2013-2022,6,6,0,143,39,23.83,109,131.19,0,0,1,9,10,
"(Kings XI Punjab, Lucknow Super Giants)",,,,,,,,,,,,,,,
DJ Bravo,2008-2018,9,8,4,141,64*,35.25,127,111.02,0,1,0,16,3,
"(Chennai Super Kings, Gujarat Lions, Mumbai Indians)",,,,,,,,,,,,,,,
Mandeep Singh,2012-2023,7,7,1,140,38,23.33,94,148.93,0,0,1,16,5,
"(Kings XI Punjab, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
F du Plessis,2012-2024,9,9,0,138,27,15.33,101,136.63,0,0,1,19,3,
"(Chennai Super Kings, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
H Klaasen,2018-2025,5,4,2,130,63,65.00,74,175.67,0,1,0,5,11,
"(Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AD Mathews,2010-2015,9,6,2,130,46*,32.50,98,132.65,0,0,0,7,6,
"(Delhi Daredevils, Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,,
M Vijay,2010-2016,7,7,0,128,36,18.28,122,104.91,0,0,0,17,2,
"(Chennai Super Kings, Kings XI Punjab)",,,,,,,,,,,,,,,
Yuvraj Singh,2008-2018,7,6,1,127,33*,25.40,77,164.93,0,0,1,9,10,
"(Delhi Daredevils, Kings XI Punjab, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
PP Chawla,2008-2024,36,16,10,123,22,20.50,99,124.24,0,0,2,10,4,
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
RR Pant,2017-2025,5,4,0,122,46,30.50,81,150.61,0,0,0,14,4,
"(Delhi Capitals, Delhi Daredevils, Lucknow Super Giants)",,,,,,,,,,,,,,,
MA Agarwal,2012-2024,6,6,1,120,58,24.00,94,127.65,0,1,0,12,2,
"(Delhi Daredevils, Kings XI Punjab, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
YBK Jaiswal,2022-2024,3,3,1,120,98*,60.00,64,187.50,0,1,0,15,6,
(Rajasthan Royals),,,,,,,,,,,,,,,
KC Sangakkara,2008-2013,4,4,0,120,64,30.00,85,141.17,0,1,0,11,4,
"(Deccan Chargers, Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AJ Finch,2010-2018,6,5,0,116,31,23.20,78,148.71,0,0,0,13,5,
"(Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
HH Gibbs,2010-2012,2,2,1,116,66*,116.00,103,112.62,0,2,0,12,3,
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,,
MEK Hussey,2011-2015,5,5,0,116,56,23.20,127,91.33,0,1,0,7,5,
(Chennai Super Kings),,,,,,,,,,,,,,,
AK Markram,2023-2025,3,3,0,115,50,38.33,67,171.64,0,1,0,8,7,
"(Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Ishan Kishan,2017-2025,4,4,0,108,62,27.00,59,183.05,0,1,0,10,8,
"(Gujarat Lions, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
S Badrinath,2008-2013,5,4,1,103,54,34.33,90,114.44,0,1,1,6,3,
(Chennai Super Kings),,,,,,,,,,,,,,,
R Dravid,2008-2013,5,5,1,103,43,25.75,94,109.57,0,0,0,16,0,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
HC Brook,2023-2023,1,1,1,100,100*,-,55,181.81,1,0,0,12,3,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
BJ Hodge,2008-2013,6,6,2,93,50,23.25,95,97.89,0,1,1,11,1,
"(Kochi Tuskers Kerala, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
V Shankar,2018-2023,3,3,2,93,51*,93.00,52,178.84,0,1,0,4,7,
"(Delhi Daredevils, Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
DJ Hooda,2016-2024,7,6,1,92,45,18.40,73,126.02,0,0,0,3,6,
"(Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Ramandeep Singh,2024-2025,11,8,5,91,35,30.33,51,178.43,0,0,0,4,8,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
AC Gilchrist,2008-2013,5,5,0,90,27,18.00,90,100.00,0,0,0,10,3,
"(Deccan Chargers, Kings XI Punjab)",,,,,,,,,,,,,,,
PA Patel,2008-2019,6,6,1,89,27,17.80,104,85.57,0,0,1,11,1,
"(Chennai Super Kings, Kochi Tuskers Kerala, Mumbai Indians, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
V Sehwag,2008-2014,4,4,0,86,64,21.50,57,150.87,0,1,1,7,4,
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,,
Q de Kock,2016-2025,9,9,0,85,28,9.44,78,108.97,0,0,1,5,6,
"(Delhi Daredevils, Kolkata Knight Riders, Lucknow Super Giants, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
R Parag,2019-2024,3,3,0,85,47,28.33,48,177.08,0,0,0,9,4,
(Rajasthan Royals),,,,,,,,,,,,,,,
