Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
Shahbaz Ahmed,1,1,1,14,14*,-,7,200.00,0,0,0,1,1,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Azmatullah Omarzai,1,1,0,13,13,13.00,10,130.00,0,0,0,0,1,
(Gujarat Titans),,,,,,,,,,,,,,
WP Saha,1,1,0,13,13,13.00,11,118.18,0,0,0,1,0,
(Gujarat Titans),,,,,,,,,,,,,,
RM Patidar,1,1,0,12,12,12.00,13,92.30,0,0,0,1,0,
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
N Rana,1,1,0,12,12,12.00,7,171.42,0,0,0,2,0,
(Rajasthan Royals),,,,,,,,,,,,,,
XC Bartlett,2,1,0,11,11,11.00,15,73.33,0,0,0,1,0,
(Punjab Kings),,,,,,,,,,,,,,
R Powell,1,1,0,11,11,11.00,5,220.00,0,0,0,2,0,
(Rajasthan Royals),,,,,,,,,,,,,,
RA Tripathi,1,1,0,11,11,11.00,14,78.57,0,0,0,1,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
HH Pandya,1,1,0,10,10,10.00,6,166.66,0,0,0,0,1,
(Mumbai Indians),,,,,,,,,,,,,,
RR Rossouw,2,2,0,10,9,5.00,10,100.00,0,0,0,2,0,
(Punjab Kings),,,,,,,,,,,,,,
RA Jadeja,1,1,1,9,9*,-,5,180.00,0,0,0,0,1,
(Chennai Super Kings),,,,,,,,,,,,,,
H Klaasen,1,1,0,9,9,9.00,9,100.00,0,0,0,1,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
K Rabada,5,2,1,9,8,9.00,4,225.00,0,0,0,0,1,
(Punjab Kings),,,,,,,,,,,,,,
Ishan Kishan,1,1,0,8,8,8.00,8,100.00,0,0,0,1,0,
(Mumbai Indians),,,,,,,,,,,,,,
M Shahrukh Khan,1,1,0,8,8,8.00,4,200.00,0,0,0,0,1,
(Gujarat Titans),,,,,,,,,,,,,,
VR Iyer,1,1,0,7,7,7.00,4,175.00,0,0,0,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
B Kumar,2,1,0,6,6,6.00,8,75.00,0,0,0,0,0,
"(Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,
MP Stoinis,3,3,0,6,4,2.00,16,37.50,0,0,0,0,0,
(Punjab Kings),,,,,,,,,,,,,,
