Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
(Chennai Super Kings),,,,,,,,,,,,,,,
AM Rahane,2024-2024,1,1,0,36,36,36.00,24,150.00,0,0,0,5,1,
(Chennai Super Kings),,,,,,,,,,,,,,,
V Shankar,2023-2025,3,3,0,36,17,12.00,37,97.29,0,0,0,2,1,
"(Chennai Super Kings, Gujarat Titans)",,,,,,,,,,,,,,,
M Shahrukh Khan,2023-2025,2,2,2,34,23*,-,16,212.50,0,0,0,1,3,
"(Gujarat Titans, Punjab Kings)",,,,,,,,,,,,,,,
MW Short,2023-2023,1,1,0,34,34,34.00,22,154.54,0,0,0,5,1,
(Punjab Kings),,,,,,,,,,,,,,,
A Raghuvanshi,2024-2024,1,1,0,32,32,32.00,26,123.07,0,0,0,3,1,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
PD Salt,2024-2024,1,1,0,32,32,32.00,14,228.57,0,0,0,5,1,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
R Tewatia,2023-2025,3,3,1,32,30,16.00,28,114.28,0,0,1,2,2,
(Gujarat Titans),,,,,,,,,,,,,,,
NT Tilak Varma,2024-2025,2,2,0,32,25,16.00,34,94.11,0,0,0,3,0,
(Mumbai Indians),,,,,,,,,,,,,,,
Anmolpreet Singh,2023-2023,1,1,0,31,31,31.00,26,119.23,0,0,0,3,1,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
K Gowtham,2023-2023,4,4,1,31,23,10.33,19,163.15,0,0,0,1,3,
(Lucknow Super Giants),,,,,,,,,,,,,,,
V Kohli,2023-2023,1,1,0,31,31,31.00,30,103.33,0,0,0,3,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
MM Ali,2024-2024,1,1,0,30,30,30.00,20,150.00,0,0,0,0,3,
(Chennai Super Kings),,,,,,,,,,,,,,,
RR Rossouw,2023-2023,1,1,0,30,30,30.00,20,150.00,0,0,0,3,1,
(Delhi Capitals),,,,,,,,,,,,,,,
LS Livingstone,2024-2024,1,1,1,28,28*,-,17,164.70,0,0,0,2,2,
(Punjab Kings),,,,,,,,,,,,,,,
SK Rasheed,2025-2025,1,1,0,27,27,27.00,19,142.10,0,0,0,6,0,
(Chennai Super Kings),,,,,,,,,,,,,,,
Ramandeep Singh,2024-2024,1,1,1,25,25*,-,6,416.66,0,0,0,1,3,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
YBK Jaiswal,2024-2024,1,1,0,24,24,24.00,18,133.33,0,0,0,3,1,
(Rajasthan Royals),,,,,,,,,,,,,,,
Harpreet Singh,2023-2023,1,1,0,22,22,22.00,22,100.00,0,0,0,3,0,
(Punjab Kings),,,,,,,,,,,,,,,
SE Rutherford,2025-2025,1,1,0,22,22,22.00,19,115.78,0,0,0,3,0,
(Gujarat Titans),,,,,,,,,,,,,,,
AJ Turner,2024-2024,2,2,0,21,16,10.50,18,116.66,0,0,0,0,2,
(Lucknow Super Giants),,,,,,,,,,,,,,,
Arshad Khan,2024-2025,2,1,1,20,20*,-,16,125.00,0,0,0,2,0,
"(Gujarat Titans, Lucknow Super Giants)",,,,,,,,,,,,,,,
A Mishra,2023-2024,4,1,0,19,19,19.00,30,63.33,0,0,0,2,0,
(Lucknow Super Giants),,,,,,,,,,,,,,,
D Padikkal,2024-2024,3,3,0,19,9,6.33,19,100.00,0,0,0,3,0,
(Lucknow Super Giants),,,,,,,,,,,,,,,
Washington Sundar,2023-2025,2,2,0,18,16,9.00,31,58.06,0,0,0,0,0,
"(Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
RD Gaikwad,2024-2024,1,1,0,17,17,17.00,13,130.76,0,0,0,1,0,
(Chennai Super Kings),,,,,,,,,,,,,,,
KD Karthik,2023-2023,1,1,0,16,16,16.00,11,145.45,0,0,0,1,1,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
RK Singh,2024-2024,1,1,0,16,16,16.00,11,145.45,0,0,0,2,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
KK Nair,2025-2025,1,1,0,15,15,15.00,9,166.66,0,0,0,2,1,
(Delhi Capitals),,,,,,,,,,,,,,,
T Stubbs,2024-2025,2,1,1,15,15*,-,9,166.66,0,0,0,0,1,
(Delhi Capitals),,,,,,,,,,,,,,,
R Parag,2024-2024,1,1,0,14,14,14.00,11,127.27,0,0,0,0,1,
(Rajasthan Royals),,,,,,,,,,,,,,,
SN Thakur,2025-2025,5,3,2,14,6,14.00,9,155.55,0,0,0,2,0,
(Lucknow Super Giants),,,,,,,,,,,,,,,
Naveen-ul-Haq,2023-2024,9,3,2,13,13,13.00,13,100.00,0,0,0,2,0,
(Lucknow Super Giants),,,,,,,,,,,,,,,
DG Nalkande,2024-2024,1,1,0,12,12,12.00,11,109.09,0,0,0,0,1,
(Gujarat Titans),,,,,,,,,,,,,,,
AD Russell,2024-2024,1,1,0,12,12,12.00,8,150.00,0,0,0,1,1,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
SD Hope,2024-2024,1,1,1,11,11*,-,10,110.00,0,0,0,1,0,
(Delhi Capitals),,,,,,,,,,,,,,,
Ravi Bishnoi,2023-2025,19,5,2,10,5,3.33,16,62.50,0,0,1,0,0,
(Lucknow Super Giants),,,,,,,,,,,,,,,
RD Rickelton,2025-2025,1,1,0,10,10,10.00,5,200.00,0,0,0,2,0,
(Mumbai Indians),,,,,,,,,,,,,,,
M Vohra,2023-2023,1,1,0,10,10,10.00,11,90.90,0,0,0,1,0,
(Lucknow Super Giants),,,,,,,,,,,,,,,
Anuj Rawat,2023-2023,1,1,0,9,9,9.00,11,81.81,0,0,0,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
AA Kulkarni,2024-2024,2,2,0,9,9,4.50,8,112.50,0,0,1,2,0,
(Lucknow Super Giants),,,,,,,,,,,,,,,
KS Sharma,2023-2023,1,1,0,9,9,9.00,16,56.25,0,0,0,0,0,
(Lucknow Super Giants),,,,,,,,,,,,,,,
Shashank Singh,2024-2025,2,1,1,9,9*,-,7,128.57,0,0,0,1,0,
(Punjab Kings),,,,,,,,,,,,,,,
MA Agarwal,2023-2023,1,1,0,8,8,8.00,7,114.28,0,0,0,1,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
P Arya,2025-2025,1,1,0,8,8,8.00,9,88.88,0,0,0,1,0,
(Punjab Kings),,,,,,,,,,,,,,,
PW Hasaranga,2023-2023,1,1,1,8,8*,-,7,114.28,0,0,0,1,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
JM Sharma,2023-2024,2,2,0,8,6,4.00,13,61.53,0,0,0,1,0,
(Punjab Kings),,,,,,,,,,,,,,,
Yudhvir Singh,2023-2024,2,2,0,7,7,3.50,8,87.50,0,0,1,0,1,
(Lucknow Super Giants),,,,,,,,,,,,,,,
SM Curran,2023-2024,2,2,0,6,6,3.00,7,85.71,0,0,1,1,0,
(Punjab Kings),,,,,,,,,,,,,,,
Harpreet Brar,2023-2024,2,1,0,6,6,6.00,4,150.00,0,0,0,1,0,
(Punjab Kings),,,,,,,,,,,,,,,
Kuldeep Yadav,2023-2025,3,1,1,6,6*,-,10,60.00,0,0,0,0,0,
(Delhi Capitals),,,,,,,,,,,,,,,
SS Prabhudessai,2023-2023,1,1,0,6,6,6.00,7,85.71,0,0,0,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
WG Jacks,2025-2025,1,1,0,5,5,5.00,7,71.42,0,0,0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,,
Aman Hakim Khan,2023-2023,1,1,0,4,4,4.00,5,80.00,0,0,0,0,0,
(Delhi Capitals),,,,,,,,,,,,,,,
C Green,2023-2023,1,1,1,4,4*,-,6,66.66,0,0,0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,,
SN Khan,2023-2023,1,1,0,4,4,4.00,9,44.44,0,0,0,1,0,
(Delhi Capitals),,,,,,,,,,,,,,,
GJ Maxwell,2023-2025,2,1,0,4,4,4.00,5,80.00,0,0,0,0,0,
"(Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Noor Ahmad,2023-2025,3,1,0,4,4,4.00,2,200.00,0,0,0,1,0,
"(Chennai Super Kings, Gujarat Titans)",,,,,,,,,,,,,,,
AU Rashid,2023-2023,1,1,0,4,4,4.00,3,133.33,0,0,0,1,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
Rashid Khan,2023-2025,3,2,1,4,4*,4.00,5,80.00,0,0,1,0,0,
(Gujarat Titans),,,,,,,,,,,,,,,
C Sakariya,2023-2023,1,1,0,4,4,4.00,4,100.00,0,0,0,1,0,
(Delhi Capitals),,,,,,,,,,,,,,,
HC Brook,2023-2023,1,1,0,3,3,3.00,4,75.00,0,0,0,0,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
MK Lomror,2023-2023,1,1,0,3,3,3.00,4,75.00,0,0,0,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
A Manohar,2023-2023,1,1,0,3,3,3.00,5,60.00,0,0,0,0,0,
(Gujarat Titans),,,,,,,,,,,,,,,
Avesh Khan,2023-2025,9,2,2,2,2*,-,1,200.00,0,0,0,0,0,
"(Lucknow Super Giants, Rajasthan Royals)",,,,,,,,,,,,,,,
Mohsin Khan,2023-2024,7,1,0,2,2,2.00,1,200.00,0,0,0,0,0,
(Lucknow Super Giants),,,,,,,,,,,,,,,
MJ Santner,2025-2025,1,1,1,2,2*,-,2,100.00,0,0,0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,,
BR Sharath,2024-2024,1,1,0,2,2,2.00,5,40.00,0,0,0,0,0,
(Gujarat Titans),,,,,,,,,,,,,,,
KV Sharma,2023-2023,1,1,0,2,2,2.00,2,100.00,0,0,0,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
Vishnu Vinod,2023-2023,1,1,0,2,2,2.00,4,50.00,0,0,0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,,
UT Yadav,2024-2024,1,1,0,2,2,2.00,4,50.00,0,0,0,0,0,
(Gujarat Titans),,,,,,,,,,,,,,,
G Coetzee,2024-2024,1,1,1,1,1*,-,2,50.00,0,0,0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,,
JR Hazlewood,2023-2023,1,1,1,1,1*,-,2,50.00,0,0,0,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
VR Iyer,2024-2024,1,1,1,1,1*,-,1,100.00,0,0,0,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
Mohammad Nabi,2024-2024,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0,
(Mumbai Indians),,,,,,,,,,,,,,,
R Powell,2023-2024,2,1,0,1,1,1.00,3,33.33,0,0,0,0,0,
"(Delhi Capitals, Rajasthan Royals)",,,,,,,,,,,,,,,
Sameer Rizvi,2024-2024,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,,
KS Williamson,2024-2024,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0,
(Gujarat Titans),,,,,,,,,,,,,,,
Akash Deep,2025-2025,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
(Lucknow Super Giants),,,,,,,,,,,,,,,
SH Johnson,2024-2024,1,1,1,0,0*,-,1,0.00,0,0,0,0,0,
(Gujarat Titans),,,,,,,,,,,,,,,
B Kumar,2023-2023,1,1,1,0,0*,-,0,-,0,0,0,0,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
PN Mankad,2023-2023,2,2,1,0,0*,0.00,1,0.00,0,0,1,0,0,
(Lucknow Super Giants),,,,,,,,,,,,,,,
Mohammed Siraj,2023-2025,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
"(Gujarat Titans, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Mukesh Kumar,2023-2025,3,1,1,0,0*,-,1,0.00,0,0,0,0,0,
(Delhi Capitals),,,,,,,,,,,,,,,
K Rabada,2023-2024,2,1,1,0,0*,-,1,0.00,0,0,0,0,0,
(Punjab Kings),,,,,,,,,,,,,,,
R Shepherd,2023-2023,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
(Lucknow Super Giants),,,,,,,,,,,,,,,
A Taide,2023-2023,1,1,0,0,0,0.00,3,0.00,0,0,1,0,0,
(Punjab Kings),,,,,,,,,,,,,,,
Umran Malik,2023-2023,1,1,0,0,0,0.00,0,-,0,0,1,0,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
KK Ahmed,2023-2025,3,-,-,-,-,-,-,-,-,-,-,-,-,
"(Chennai Super Kings, Delhi Capitals)",,,,,,,,,,,,,,,
VG Arora,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
Arshdeep Singh,2023-2025,3,-,-,-,-,-,-,-,-,-,-,-,-,
(Punjab Kings),,,,,,,,,,,,,,,
Ashwani Kumar,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,,
R Ashwin,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,,
RA Bawa,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,,
JP Behrendorff,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,,
TA Boult,2024-2025,2,-,-,-,-,-,-,-,-,-,-,-,-,
"(Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
JJ Bumrah,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,,
YS Chahal,2024-2025,2,-,-,-,-,-,-,-,-,-,-,-,-,
"(Punjab Kings, Rajasthan Royals)",,,,,,,,,,,,,,,
DL Chahar,2024-2025,2,-,-,-,-,-,-,-,-,-,-,-,-,
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,,
RD Chahar,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,
(Punjab Kings),,,,,,,,,,,,,,,
PVD Chameera,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Delhi Capitals),,,,,,,,,,,,,,,
PP Chawla,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,,
TU Deshpande,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Chennai Super Kings),,,,,,,,,,,,,,,
Fazalhaq Farooqi,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
LH Ferguson,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Punjab Kings),,,,,,,,,,,,,,,
Harshit Rana,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
MJ Henry,2024-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,
(Lucknow Super Giants),,,,,,,,,,,,,,,
SO Hetmyer,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,,
Himmat Singh,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,
