Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,
CH Morris,2013-2021,81,81,286.4,1,2295,95,4/23,24.15,8.00,18.1,4,0,
"(Chennai Super Kings, Delhi Capitals, Delhi Daredevils, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
I Sharma,2008-2025,116,116,399.5,6,3342,95,5/12,35.17,8.35,25.2,0,1,
"(Deccan Chargers, Delhi Capitals, Gujarat Titans, Kings XI Punjab, Kolkata Knight Riders, Rising Pune Supergiants, Sunrisers Hyderabad)",,,,,,,,,,,,,,
SR Watson,2008-2020,145,105,338.1,3,2682,92,4/29,29.15,7.93,22.0,1,0,
"(Chennai Super Kings, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
P Kumar,2008-2017,119,119,420.4,14,3251,90,3/18,36.12,7.72,28.0,0,0,
"(Gujarat Lions, Kings XI Punjab, Mumbai Indians, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
RP Singh,2008-2016,82,82,295.5,2,2338,90,4/22,25.97,7.90,19.7,2,0,
"(Deccan Chargers, Kochi Tuskers Kerala, Mumbai Indians, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Arshdeep Singh,2019-2025,75,74,259.4,2,2327,89,5/32,26.14,8.96,17.5,2,1,
"(Kings XI Punjab, Punjab Kings)",,,,,,,,,,,,,,
PP Ojha,2008-2015,92,90,316.3,1,2332,89,3/11,26.20,7.36,21.3,0,0,
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,
KH Pandya,2016-2025,136,127,385.4,1,2882,89,4/45,32.38,7.47,26.0,1,0,
"(Lucknow Super Giants, Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
KK Ahmed,2018-2025,67,67,248.2,4,2197,88,3/21,24.96,8.84,16.9,0,0,
"(Chennai Super Kings, Delhi Capitals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
DS Kulkarni,2008-2021,92,92,297.5,8,2474,86,4/14,28.76,8.30,20.7,1,0,
"(Gujarat Lions, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,
DL Chahar,2016-2025,91,91,308.1,6,2502,85,4/13,29.43,8.11,21.7,2,0,
"(Chennai Super Kings, Mumbai Indians, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,
JA Morkel,2008-2016,90,87,287.1,3,2355,85,4/32,27.70,8.20,20.2,1,0,
"(Chennai Super Kings, Delhi Daredevils, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Avesh Khan,2017-2025,71,71,256.0,1,2296,84,4/24,27.33,8.96,18.2,1,0,
"(Delhi Capitals, Delhi Daredevils, Lucknow Super Giants, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Imran Tahir,2014-2021,59,59,219.2,1,1703,82,4/12,20.76,7.76,16.0,3,0,
"(Chennai Super Kings, Delhi Daredevils, Rising Pune Supergiant)",,,,,,,,,,,,,,
IK Pathan,2008-2017,102,101,340.3,10,2649,80,3/24,33.11,7.77,25.5,0,0,
"(Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Rising Pune Supergiants, Sunrisers Hyderabad)",,,,,,,,,,,,,,
KV Sharma,2009-2025,87,84,255.1,1,2148,79,4/16,27.18,8.41,19.3,2,0,
"(Chennai Super Kings, Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,
M Morkel,2009-2016,70,70,271.3,3,2089,77,4/20,27.12,7.69,21.1,1,0,
"(Delhi Daredevils, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
L Balaji,2008-2014,73,73,252.1,2,2028,76,5/24,26.68,8.04,19.9,3,1,
"(Chennai Super Kings, Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,
HH Pandya,2015-2025,146,102,262.2,0,2387,76,5/36,31.40,9.09,20.7,0,1,
"(Gujarat Titans, Mumbai Indians)",,,,,,,,,,,,,,
RD Chahar,2017-2025,79,78,278.2,1,2150,75,4/27,28.66,7.72,22.2,1,0,
"(Mumbai Indians, Punjab Kings, Rising Pune Supergiant, Sunrisers Hyderabad)",,,,,,,,,,,,,,
MM Patel,2008-2017,63,63,225.5,5,1698,74,5/21,22.94,7.51,18.3,2,1,
"(Gujarat Lions, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,
PJ Cummins,2014-2025,67,67,251.3,2,2227,72,4/34,30.93,8.85,20.9,1,0,
"(Delhi Daredevils, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Ravi Bishnoi,2020-2025,75,75,271.1,1,2211,72,3/24,30.70,8.15,22.5,0,0,
"(Kings XI Punjab, Lucknow Super Giants, Punjab Kings)",,,,,,,,,,,,,,
R Bhatia,2008-2017,95,91,272.4,1,2020,71,4/15,28.45,7.40,23.0,1,0,
"(Delhi Daredevils, Kolkata Knight Riders, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,
MJ McClenaghan,2015-2019,56,56,212.2,1,1803,71,4/21,25.39,8.49,17.9,1,0,
(Mumbai Indians),,,,,,,,,,,,,,
AB Dinda,2008-2017,77,75,252.4,3,2073,69,4/18,30.04,8.20,21.9,1,0,
"(Delhi Daredevils, Kolkata Knight Riders, Pune Warriors, Rising Pune Supergiant, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,
KA Pollard,2010-2022,189,107,248.0,0,2180,69,4/44,31.59,8.79,21.5,1,0,
(Mumbai Indians),,,,,,,,,,,,,,
T Natarajan,2017-2024,61,61,222.5,2,1969,67,4/19,29.38,8.83,19.9,1,0,
"(Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,
M Prasidh Krishna,2018-2025,60,60,225.5,3,1976,66,4/30,29.93,8.74,20.5,2,0,
"(Gujarat Titans, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
JH Kallis,2008-2014,98,89,290.2,3,2293,65,3/13,35.27,7.89,26.8,0,0,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
