Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,venue
A Chandila,2013-2013,1,1,1,4,4*,-,6,66.66,0,0,0,0,0,M. Chinnaswamy Stadium
Karanveer Singh,2014-2015,2,1,0,4,4,4,7,57.14,0,0,0,0,0,M. Chinnaswamy Stadium
Daryl Mitchell,2024-2024,1,1,0,4,4,4,6,66.66,0,0,0,0,0,M. Chinnaswamy Stadium
Mohammad Nabi,2019-2019,1,1,0,4,4,4,3,133.33,0,0,0,1,0,M. Chinnaswamy Stadium
M Morkel,2010-2016,5,2,1,4,2*,4,12,33.33,0,0,0,0,0,M. Chinnaswamy Stadium
CH Morris,2013-2019,5,3,1,4,4,2,8,50,0,0,1,0,0,M. Chinnaswamy Stadium
DT Patil,2008-2008,1,1,0,4,4,4,1,400,0,0,0,1,0,M. Chinnaswamy Stadium
AS Rajpoot,2017-2019,3,1,0,4,4,4,7,57.14,0,0,0,1,0,M. Chinnaswamy Stadium
PJ Sangwan,2008-2013,3,1,1,4,4*,-,2,200,0,0,0,1,0,M. Chinnaswamy Stadium
Shivam Sharma,2014-2014,1,1,0,4,4,4,2,200,0,0,0,1,0,M. Chinnaswamy Stadium
Sunny Singh,2011-2011,1,1,0,4,4,4,5,80,0,0,0,0,0,M. Chinnaswamy Stadium
GH Vihari,2013-2013,1,1,1,4,4*,-,3,133.33,0,0,0,0,0,M. Chinnaswamy Stadium
SK Warne,2008-2010,2,1,0,4,4,4,7,57.14,0,0,0,0,0,M. Chinnaswamy Stadium
Lalit Yadav,2023-2023,1,1,0,4,4,4,7,57.14,0,0,0,0,0,M. Chinnaswamy Stadium
Ruturaj Gaikwad,2023-2024,2,2,0,3,3,1.5,7,42.85,0,0,1,0,0,M. Chinnaswamy Stadium
CJ Jordan,2016-2017,7,2,0,3,3,1.5,5,60,0,0,1,0,0,M. Chinnaswamy Stadium
Mukesh Kumar,2024-2025,2,1,0,3,3,3,7,42.85,0,0,0,0,0,M. Chinnaswamy Stadium
Ravi Bishnoi,2023-2024,2,1,1,3,3*,-,2,150,0,0,0,0,0,M. Chinnaswamy Stadium
Mitchell Santner,2024-2024,1,1,0,3,3,3,4,75,0,0,0,0,0,M. Chinnaswamy Stadium
RJW Topley,2023-2024,3,1,1,3,3*,-,6,50,0,0,0,0,0,M. Chinnaswamy Stadium
SK Trivedi,2008-2013,4,2,1,3,3,3,7,42.85,0,0,0,0,0,M. Chinnaswamy Stadium
AS Yadav,2008-2008,1,1,1,3,3*,-,4,75,0,0,0,0,0,M. Chinnaswamy Stadium
S Chanderpaul,2008-2008,1,1,0,2,2,2,9,22.22,0,0,0,0,0,M. Chinnaswamy Stadium
Fazalhaq Farooqi,2025-2025,1,1,1,2,2*,-,2,100,0,0,0,0,0,M. Chinnaswamy Stadium
Harbhajan Singh,2010-2018,9,3,1,2,1*,1,6,33.33,0,0,1,0,0,M. Chinnaswamy Stadium
Harpreet Brar,2024-2025,2,1,1,2,2*,-,2,100,0,0,0,0,0,M. Chinnaswamy Stadium
K Kushagra,2024-2024,1,1,0,2,2,2,3,66.66,0,0,0,0,0,M. Chinnaswamy Stadium
AF Milne,2016-2017,2,1,0,2,2,2,3,66.66,0,0,0,0,0,M. Chinnaswamy Stadium
WD Parnell,2023-2023,4,1,0,2,2,2,5,40,0,0,0,0,0,M. Chinnaswamy Stadium
BB Samantray,2013-2013,1,1,1,2,2*,-,2,100,0,0,0,0,0,M. Chinnaswamy Stadium
R Shukla,2014-2014,1,1,1,2,2*,-,6,33.33,0,0,0,0,0,M. Chinnaswamy Stadium
SB Styris,2008-2008,1,1,0,2,2,2,3,66.66,0,0,0,0,0,M. Chinnaswamy Stadium
Abdul Basith,2023-2023,1,1,1,1,1*,-,1,100,0,0,0,0,0,M. Chinnaswamy Stadium
Murugan Ashwin,2018-2019,2,1,1,1,1*,-,2,50,0,0,0,0,0,M. Chinnaswamy Stadium
L Balaji,2010-2014,6,2,2,1,1*,-,3,33.33,0,0,0,0,0,M. Chinnaswamy Stadium
MS Bhandage,2025-2025,1,1,0,1,1,1,4,25,0,0,0,0,0,M. Chinnaswamy Stadium
CR Brathwaite,2016-2017,2,1,0,1,1,1,5,20,0,0,0,0,0,M. Chinnaswamy Stadium
TU Deshpande,2023-2025,3,1,1,1,1*,-,2,50,0,0,0,0,0,M. Chinnaswamy Stadium
YV Dhull,2023-2023,1,1,0,1,1,1,4,25,0,0,0,0,0,M. Chinnaswamy Stadium
AB Dinda,2008-2016,8,2,1,1,1*,1,2,50,0,0,1,0,0,M. Chinnaswamy Stadium
Harpreet Singh,2011-2011,1,1,1,1,1*,-,1,100,0,0,0,0,0,M. Chinnaswamy Stadium
SB Jakati,2011-2016,4,2,2,1,1*,-,2,50,0,0,0,0,0,M. Chinnaswamy Stadium
MJ McClenaghan,2015-2019,5,3,1,1,1,0.5,5,20,0,0,1,0,0,M. Chinnaswamy Stadium
BAW Mendis,2010-2010,1,1,1,1,1*,-,1,100,0,0,0,0,0,M. Chinnaswamy Stadium
Mohammed Shami,2014-2023,4,1,1,1,1*,-,1,100,0,0,0,0,0,M. Chinnaswamy Stadium
Pankaj Singh,2010-2012,2,1,0,1,1,1,2,50,0,0,0,0,0,M. Chinnaswamy Stadium
P Parameswaran,2011-2012,2,1,1,1,1*,-,1,100,0,0,0,0,0,M. Chinnaswamy Stadium
Shahid Afridi,2008-2008,1,1,0,1,1,1,2,50,0,0,0,0,0,M. Chinnaswamy Stadium
RP Singh,2008-2016,12,2,1,1,1*,1,1,100,0,0,1,0,0,M. Chinnaswamy Stadium
MJ Suthar,2024-2024,1,1,0,1,1,1,2,50,0,0,0,0,0,M. Chinnaswamy Stadium
SW Tait,2013-2013,1,1,0,1,1,1,3,33.33,0,0,0,0,0,M. Chinnaswamy Stadium
Shardul Thakur,2017-2024,4,3,1,1,1*,0.5,3,33.33,0,0,2,0,0,M. Chinnaswamy Stadium
CR Woakes,2017-2018,4,2,2,1,1*,-,3,33.33,0,0,0,0,0,M. Chinnaswamy Stadium
MA Wood,2023-2023,1,1,0,1,1,1,2,50,0,0,0,0,0,M. Chinnaswamy Stadium
KJ Abbott,2016-2016,1,1,0,0,0,0,1,0,0,0,1,0,0,M. Chinnaswamy Stadium
L Ablish,2011-2011,1,1,1,0,0*,-,2,0,0,0,0,0,0,M. Chinnaswamy Stadium
Anureet Singh,2015-2015,1,1,0,0,0,0,2,0,0,0,1,0,0,M. Chinnaswamy Stadium
JC Archer,2023-2025,2,1,0,0,0,0,1,0,0,0,1,0,0,M. Chinnaswamy Stadium
Avesh Khan,2023-2023,1,1,1,0,0*,-,1,0,0,0,0,0,0,M. Chinnaswamy Stadium
F Behardien,2016-2016,1,1,0,0,0,0,1,0,0,0,1,0,0,M. Chinnaswamy Stadium
Jasprit Bumrah,2013-2019,7,1,1,0,0*,-,1,0,0,0,0,0,0,M. Chinnaswamy Stadium
SD Chauhan,2024-2024,1,1,0,0,0,0,1,0,0,0,1,0,0,M. Chinnaswamy Stadium
MJ Dagar,2024-2024,3,1,0,0,0,0,1,0,0,0,1,0,0,M. Chinnaswamy Stadium
Josh Hazlewood,2025-2025,4,1,1,0,0*,-,1,0,0,0,0,0,0,M. Chinnaswamy Stadium
S Kaushik,2016-2016,1,1,0,0,0,0,1,0,0,0,1,0,0,M. Chinnaswamy Stadium
KR Mayers,2023-2023,1,1,0,0,0,0,3,0,0,0,1,0,0,M. Chinnaswamy Stadium
TS Mills,2017-2017,2,1,0,0,0,0,3,0,0,0,1,0,0,M. Chinnaswamy Stadium
Mujeeb Ur Rahman,2018-2018,1,1,0,0,0,0,2,0,0,0,1,0,0,M. Chinnaswamy Stadium
S Nadeem,2012-2018,5,1,0,0,0,0,2,0,0,0,1,0,0,M. Chinnaswamy Stadium
S Narwal,2010-2010,1,1,0,0,0,0,1,0,0,0,1,0,0,M. Chinnaswamy Stadium
A Nehra,2008-2016,6,1,1,0,0*,-,1,0,0,0,0,0,0,M. Chinnaswamy Stadium
Noor Ahmad,2023-2024,2,1,1,0,0*,-,0,-,0,0,0,0,0,M. Chinnaswamy Stadium
JDP Oram,2008-2013,2,1,1,0,0*,-,0,-,0,0,0,0,0,M. Chinnaswamy Stadium
IC Pandey,2013-2015,2,1,0,0,0,0,2,0,0,0,1,0,0,M. Chinnaswamy Stadium
MM Patel,2008-2013,5,1,0,0,0,0,2,0,0,0,1,0,0,M. Chinnaswamy Stadium
M Rawat,2008-2008,1,1,0,0,0,0,2,0,0,0,1,0,0,M. Chinnaswamy Stadium
NA Saini,2019-2019,7,1,1,0,0*,-,1,0,0,0,0,0,0,M. Chinnaswamy Stadium
MD Shanaka,2023-2023,1,1,0,0,0,0,3,0,0,0,1,0,0,M. Chinnaswamy Stadium
Ishant Sharma,2008-2025,7,2,1,0,0*,0,6,0,0,0,1,0,0,M. Chinnaswamy Stadium
S Sreesanth,2008-2013,3,1,0,0,0,0,2,0,0,0,1,0,0,M. Chinnaswamy Stadium
GC Viljoen,2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0,M. Chinnaswamy Stadium
Yash Dayal,2023-2025,12,1,0,0,0,0,1,0,0,0,1,0,0,M. Chinnaswamy Stadium
P Amarnath,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
YA Abdulla,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Khaheel Ahmed,2019-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Akash Deep,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Akash Singh,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Anand Rajan,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Ankit Soni,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
KP Appanna,2012-2012,3,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
VG Arora,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Arshdeep Singh,2024-2025,2,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
P Awana,2012-2014,3,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
XC Bartlett,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Basil Thampi,2017-2019,3,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
JP Behrendorff,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
DE Bollinger,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
J Botha,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Trent Boult,2015-2023,4,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Deepak Chahar,2018-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
RD Chahar,2017-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Lockie Ferguson,2019-2024,4,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
CRD Fernando,2008-2010,2,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Gagandeep Singh,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
MS Gony,2008-2013,2,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
S Gopal,2018-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
K Gowtham,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Harmeet Singh,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Harshit Rana,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
BW Hilfenhaus,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
GB Hogg,2012-2015,2,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
JO Holder,2013-2023,2,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Imran Tahir,2014-2019,4,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
SP Jackson,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Marco Jansen,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Joginder Sharma,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
AS Joseph,2024-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Kamran Khan,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
M Kartik,2008-2013,5,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
S Kaul,2014-2018,3,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
U Kaul,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
K Khejroliya,2018-2019,4,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
S Lamichhane,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
CK Langeveldt,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
B Laughlin,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
JB Little,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
GD McGrath,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
VY Mahesh,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
AL Menaria,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Mustafizur Rahman,2016-2023,3,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
DP Nannes,2010-2011,2,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
T Natarajan,2017-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Naveen-ul-Haq,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Vipraj Nigam,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Nitish Kumar Reddy,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
PP Ojha,2008-2010,2,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Parvez Rasool,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Matheesha Pathirana,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
SM Pollock,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Prasidh Krishna,2019-2025,2,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
V Pratap Singh,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Kagiso Rabada,2019-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Angkrish Raghuvanshi,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Ramandeep Singh,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
KW Richardson,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
AS Roy,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
 Sai Kishore,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
D Salunkhe,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
GS Sandhu,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
T Shamsi,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
AR Sharma,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
H Sharma,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
R Sharma,2011-2012,2,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Romario Shepherd,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Shivam Mavi,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
M Siddharth,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Simarjeet Singh,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
NB Singh,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
VRV Singh,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
A Singh,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Sohail Tanvir,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
BB Sran,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
B Stanlake,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Suyash Sharma,2023-2025,4,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
JE Taylor,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Yash Thakur,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Maheesh Theekshana,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
AC Thomas,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
O Thomas,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
S Tyagi,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Varun Chakaravarthy,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
DP Vijaykumar,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
J Yadav,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
MP Yadav,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
Adam Zampa,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-,M. Chinnaswamy Stadium
,,,,,,,,,,,,,,,
Shubman Gill,2021-2025,22,22,3,1033,129,54.36,647,159.65,3,4,0,90,41,Narendra Modi Stadium
Sai Sudharsan,2023-2025,16,16,1,858,103,57.2,547,156.85,1,6,0,77,35,Narendra Modi Stadium
Jos Buttler,2022-2025,7,7,2,371,106*,74.2,236,157.2,1,2,1,40,13,Narendra Modi Stadium
Ajinkya Rahane,2014-2024,9,9,1,336,76*,42,253,132.8,0,3,1,31,9,Narendra Modi Stadium
David Miller,2015-2024,15,13,6,308,54,44,198,155.55,0,1,1,20,16,Narendra Modi Stadium
WP Saha,2010-2024,17,17,1,290,81,18.12,222,130.63,0,2,2,37,9,Narendra Modi Stadium
Sanju Samson,2014-2025,13,12,1,276,60,25.09,207,133.33,0,1,0,20,15,Narendra Modi Stadium
Hardik Pandya,2022-2025,11,11,3,246,59*,30.75,194,126.8,0,1,0,20,9,Narendra Modi Stadium
Virat Kohli,2015-2024,6,6,2,219,70*,54.75,167,131.13,0,2,0,15,9,Narendra Modi Stadium
Shimron Hetmyer,2021-2025,8,8,5,216,56*,72,117,184.61,0,3,0,14,15,Narendra Modi Stadium
Karun Nair,2014-2025,9,8,1,196,48,28,128,153.12,0,0,0,16,9,Narendra Modi Stadium
Shane Watson,2014-2015,6,6,0,191,73,31.83,140,136.42,0,1,0,19,9,Narendra Modi Stadium
Steven Smith,2014-2021,10,8,1,169,79*,24.14,151,111.92,0,1,1,12,1,Narendra Modi Stadium
MA Agarwal,2014-2024,4,4,1,163,99*,54.33,119,136.97,0,1,0,14,6,Narendra Modi Stadium
NV Ojha,2010-2014,5,5,0,162,80,32.4,117,138.46,0,1,0,17,7,Narendra Modi Stadium
KL Rahul,2014-2025,4,4,1,156,91*,52,109,143.11,0,1,0,15,7,Narendra Modi Stadium
S Dhawan,2014-2024,5,5,1,155,69*,38.75,123,126.01,0,1,0,18,3,Narendra Modi Stadium
Syres Iyer,2024-2025,2,2,2,155,97*,-,66,234.84,0,2,0,10,13,Narendra Modi Stadium
Rahul Tewatia,2014-2025,22,12,6,155,24*,25.83,85,182.35,0,0,1,10,13,Narendra Modi Stadium
Rajat Patidar,2021-2024,5,4,0,154,58,38.5,116,132.75,0,1,0,8,8,Narendra Modi Stadium
Rohit Sharma,2010-2025,7,7,0,150,49,21.42,107,140.18,0,0,1,15,8,Narendra Modi Stadium
PP Shaw,2021-2024,4,4,0,149,82,37.25,87,171.26,0,1,0,18,6,Narendra Modi Stadium
Vijay Shankar,2023-2024,10,7,3,143,63*,35.75,96,148.95,0,1,0,10,7,Narendra Modi Stadium
Suryakumar Yadav,2014-2025,4,4,1,141,61,47,95,148.42,0,1,0,11,7,Narendra Modi Stadium
AB de Villiers,2010-2021,4,4,2,140,75*,70,109,128.44,0,1,0,9,5,Narendra Modi Stadium
Venkatesh Iyer,2023-2024,2,2,1,134,83,134,68,197.05,0,2,0,13,9,Narendra Modi Stadium
Shahrukh Khan,2021-2025,10,9,1,128,58,16,84,152.38,0,1,2,7,10,Narendra Modi Stadium
Henrich Klaasen,2023-2024,3,3,0,120,64,40,78,153.84,0,1,0,8,6,Narendra Modi Stadium
Ruturaj Gaikwad,2023-2024,3,3,0,118,92,39.33,69,171.01,0,1,1,7,10,Narendra Modi Stadium
Abhinav Manohar,2023-2024,6,5,0,117,42,23.4,89,131.46,0,0,0,7,7,Narendra Modi Stadium
Rahul Tripathi,2021-2024,4,4,0,116,55,29,86,134.88,0,1,0,16,1,Narendra Modi Stadium
Sherfane Rutherford,2025-2025,4,4,0,114,46,28.5,76,150,0,0,0,5,9,Narendra Modi Stadium
AA Jhunjhunwala,2010-2010,4,3,1,109,53*,54.5,87,125.28,0,1,0,12,1,Narendra Modi Stadium
Tilak Varma,2023-2025,4,4,0,109,43,27.25,72,151.38,0,0,0,9,5,Narendra Modi Stadium
Shashank Singh,2024-2025,2,2,2,105,61*,-,45,233.33,0,1,0,12,6,Narendra Modi Stadium
Rishabh Pant,2021-2024,4,4,2,104,58*,52,78,133.33,0,1,0,10,3,Narendra Modi Stadium
Will Jacks,2024-2024,1,1,1,100,100*,-,41,243.9,1,0,0,5,10,Narendra Modi Stadium
YK Pathan,2010-2014,5,5,1,96,73*,24,60,160,0,1,2,5,8,Narendra Modi Stadium
Yashasvi Jaiswal,2022-2025,5,5,0,95,45,19,73,130.13,0,0,0,11,4,Narendra Modi Stadium
MS Dhoni,2010-2024,5,5,3,92,31*,46,75,122.66,0,0,1,8,4,Narendra Modi Stadium
Cameron Green,2023-2024,4,3,0,90,33,30,67,134.32,0,0,0,4,6,Narendra Modi Stadium
Kiren Pollard,2014-2015,2,2,1,84,70,84,46,182.6,0,1,0,7,6,Narendra Modi Stadium
Riyan Parag,2022-2025,5,4,0,82,36,20.5,62,132.25,0,0,0,4,5,Narendra Modi Stadium
Moen Ali,2023-2024,3,2,0,79,56,39.5,53,149.05,0,1,0,8,5,Narendra Modi Stadium
Chris Gayle,2015-2021,4,4,0,79,46,19.75,51,154.9,0,0,1,10,4,Narendra Modi Stadium
Axar Patel,2015-2025,7,3,1,78,39,39,69,113.04,0,0,0,4,3,Narendra Modi Stadium
BJ Hodge,2010-2014,2,2,0,76,40,38,64,118.75,0,0,0,3,3,Narendra Modi Stadium
V Sehwag,2010-2015,2,2,0,76,75,38,38,200,0,1,0,8,5,Narendra Modi Stadium
MJ Lumb,2010-2010,3,3,0,75,45,25,49,153.06,0,0,1,10,2,Narendra Modi Stadium
Rashid Khan,2022-2025,20,11,5,74,31,12.33,47,157.44,0,0,2,5,4,Narendra Modi Stadium
Shivam Dube,2023-2024,3,3,1,72,32*,36,52,138.46,0,0,0,2,4,Narendra Modi Stadium
MK Tiwary,2010-2014,2,2,1,72,61*,72,57,126.31,0,1,0,7,2,Narendra Modi Stadium
Quinton de Kock,2023-2023,1,1,0,70,70,70,41,170.73,0,1,0,7,3,Narendra Modi Stadium
JP Faulkner,2014-2015,8,7,4,70,31*,23.33,50,140,0,0,0,1,5,Narendra Modi Stadium
Dinesh Karthik,2010-2024,8,6,2,69,23*,17.25,70,98.57,0,0,0,6,1,Narendra Modi Stadium
Ashutosh Sharma,2024-2025,2,2,0,68,37,34,36,188.88,0,0,0,5,4,Narendra Modi Stadium
Faf du Plessis,2015-2024,4,4,0,67,25,16.75,56,119.64,0,0,0,6,4,Narendra Modi Stadium
SE Marsh,2015-2015,1,1,0,65,65,65,40,162.5,0,1,0,5,3,Narendra Modi Stadium
RV Uthappa,2014-2014,1,1,0,65,65,65,52,125,0,1,0,5,3,Narendra Modi Stadium
G Gambhir,2010-2014,2,2,0,63,54,31.5,42,150,0,1,0,7,1,Narendra Modi Stadium
Daryl Mitchell,2024-2024,1,1,0,63,63,63,34,185.29,0,1,0,7,3,Narendra Modi Stadium
Murali Vijay,2010-2015,2,2,0,63,42,31.5,46,136.95,0,0,0,4,4,Narendra Modi Stadium
DJ Bravo,2015-2015,1,1,1,62,62*,-,36,172.22,0,1,0,8,1,Narendra Modi Stadium
LMP Simmons,2014-2014,1,1,0,62,62,62,51,121.56,0,1,0,6,2,Narendra Modi Stadium
Devdutt Padikkal,2021-2023,5,5,0,61,26,12.2,67,91.04,0,0,0,5,3,Narendra Modi Stadium
Nithish Rana,2021-2025,4,4,0,61,45,15.25,45,135.55,0,0,1,5,4,Narendra Modi Stadium
Prabhsimran Singh,2021-2025,4,4,0,59,35,14.75,55,107.27,0,0,0,7,2,Narendra Modi Stadium
STR Binny,2014-2015,8,6,1,57,20,11.4,64,89.06,0,0,1,3,2,Narendra Modi Stadium
AD Russell,2014-2024,5,4,1,57,45*,19,41,139.02,0,0,0,4,4,Narendra Modi Stadium
AC Voges,2010-2010,3,2,1,57,37*,57,41,139.02,0,0,0,3,2,Narendra Modi Stadium
FY Fazal,2010-2010,3,3,1,56,31,28,52,107.69,0,0,0,8,0,Narendra Modi Stadium
MEK Hussey,2014-2014,1,1,0,56,56,56,39,143.58,0,1,0,3,2,Narendra Modi Stadium
Marcus Stoinis,2021-2025,5,4,1,52,22,17.33,44,118.18,0,0,0,5,2,Narendra Modi Stadium
