Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,venue
Phil Salt,2023-2025,3,3,0,49,32,16.33,28,175,0,0,1,6,3,M. A. Chidambaram Stadium
Shakib Al Hasan,2012-2021,5,4,1,49,26,16.33,46,106.52,0,0,0,3,1,M. A. Chidambaram Stadium
Anuj Rawat,2024-2024,1,1,0,48,48,48,25,192,0,0,0,4,3,M. A. Chidambaram Stadium
Rashid Khan,2019-2024,8,5,0,48,30,9.6,29,165.51,0,0,2,4,3,M. A. Chidambaram Stadium
Shahbaz Ahmed,2021-2024,6,5,0,48,18,9.6,42,114.28,0,0,0,1,3,M. A. Chidambaram Stadium
Shashank Singh,2024-2025,2,2,1,48,25*,48,38,126.31,0,0,0,2,3,M. A. Chidambaram Stadium
Krunal Pandya,2019-2025,11,10,1,47,15,5.22,54,87.03,0,0,2,5,1,M. A. Chidambaram Stadium
SC Ganguly,2008-2012,3,3,0,46,24,15.33,57,80.7,0,0,0,7,0,M. A. Chidambaram Stadium
M Manhas,2010-2011,2,2,1,45,25*,45,55,81.81,0,0,0,2,1,M. A. Chidambaram Stadium
Y Nagar,2011-2012,2,2,2,45,44*,-,49,91.83,0,0,0,1,1,M. A. Chidambaram Stadium
AM Nayar,2008-2013,2,2,2,45,45*,-,21,214.28,0,0,0,6,1,M. A. Chidambaram Stadium
Tristan Stubbs,2023-2025,2,2,1,44,24*,44,33,133.33,0,0,0,4,1,M. A. Chidambaram Stadium
STR Binny,2011-2013,3,2,2,43,36*,-,29,148.27,0,0,0,3,1,M. A. Chidambaram Stadium
SA Asnodkar,2008-2008,1,1,0,41,41,41,27,151.85,0,0,0,5,2,M. A. Chidambaram Stadium
JEC Franklin,2011-2012,2,2,1,41,25*,41,47,87.23,0,0,0,2,1,M. A. Chidambaram Stadium
SB Styris,2008-2011,2,2,2,41,36*,-,43,95.34,0,0,0,4,1,M. A. Chidambaram Stadium
Pat Cummins,2015-2025,8,6,1,40,24,8,36,111.11,0,0,2,4,2,M. A. Chidambaram Stadium
Rahmanullah Gurbaz,2023-2024,2,2,0,40,39,20,36,111.11,0,0,0,5,2,M. A. Chidambaram Stadium
A Ashish Reddy,2012-2013,2,2,1,39,36*,39,19,205.26,0,0,0,2,3,M. A. Chidambaram Stadium
AL Menaria,2011-2012,2,2,0,38,36,19,42,90.47,0,0,0,2,1,M. A. Chidambaram Stadium
LMP Simmons,2015-2015,1,1,0,38,38,38,31,122.58,0,0,0,3,2,M. A. Chidambaram Stadium
