,,,,,,,,,venue Chennai,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
"(Delhi Daredevils, Kings XI Punjab, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
KD Karthik,2008-2024,11,9,3,188,38*,31.33,158,118.98,0,0,0,19,5
"(Delhi Daredevils, Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
G Gambhir,2008-2015,7,7,1,187,63,31.16,160,116.87,0,3,1,19,2
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,
MP Stoinis,2021-2024,5,4,2,187,124*,93.5,110,170,1,0,0,18,8
"(Delhi Capitals, Lucknow Super Giants)",,,,,,,,,,,,,,
RV Uthappa,2008-2019,8,8,0,177,43,22.12,133,133.08,0,0,1,21,7
"(Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Royal Challengers Bangalore)",,,,,,,,,,,,,,
GJ Maxwell,2021-2024,4,4,0,176,78,44,119,147.89,0,2,1,17,8
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
SE Marsh,2008-2015,4,4,0,173,73,43.25,121,142.97,0,2,0,16,7
(Kings XI Punjab),,,,,,,,,,,,,,
Ishan Kishan,2019-2025,9,9,0,167,44,18.55,174,95.97,0,0,0,13,4
"(Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,
SM Curran,2019-2025,7,7,2,164,88,32.8,120,136.66,0,1,0,14,5
"(Chennai Super Kings, Kings XI Punjab, Punjab Kings)",,,,,,,,,,,,,,
SS Iyer,2015-2025,5,5,1,163,72,40.75,114,142.98,0,1,0,14,5
"(Delhi Capitals, Delhi Daredevils, Kolkata Knight Riders, Punjab Kings)",,,,,,,,,,,,,,
SPD Smith,2012-2021,6,6,2,161,39*,40.25,127,126.77,0,0,0,12,4
"(Delhi Capitals, Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,
DJ Mitchell,2024-2024,7,7,2,157,52,31.4,113,138.93,0,1,0,15,4
(Chennai Super Kings),,,,,,,,,,,,,,
DR Smith,2013-2015,8,8,0,148,34,18.5,144,102.77,0,0,1,21,4
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,
R Dravid,2008-2013,5,4,0,145,66,36.25,127,114.17,0,1,0,18,1
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
NV Ojha,2010-2015,5,5,1,144,94*,36,96,150,0,1,0,11,10
"(Delhi Daredevils, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
KA Pollard,2010-2021,12,10,4,144,57*,24,122,118.03,0,1,0,9,9
(Mumbai Indians),,,,,,,,,,,,,,
IK Pathan,2008-2013,5,5,2,140,44*,46.66,106,132.07,0,0,0,11,6
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,
Shubman Gill,2019-2024,6,6,0,128,42,21.33,101,126.73,0,0,0,12,6
"(Gujarat Titans, Kolkata Knight Riders)",,,,,,,,,,,,,,
D Padikkal,2021-2025,5,5,0,114,38,22.8,100,114,0,0,0,11,2
"(Lucknow Super Giants, Rajasthan Royals, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
CL White,2010-2013,4,4,1,113,77,37.66,87,129.88,0,1,0,12,3
"(Deccan Chargers, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
H Klaasen,2023-2025,5,5,0,110,50,22,96,114.58,0,1,0,3,5
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Prabhsimran Singh,2023-2025,3,3,0,109,54,36.33,70,155.71,0,1,0,10,6
(Punjab Kings),,,,,,,,,,,,,,
KS Williamson,2015-2021,3,3,3,108,66*,-,88,122.72,0,1,0,9,1
(Sunrisers Hyderabad),,,,,,,,,,,,,,
DA Miller,2012-2024,6,6,1,104,51*,20.8,77,135.06,0,1,0,11,2
"(Gujarat Titans, Kings XI Punjab)",,,,,,,,,,,,,,
HH Pandya,2015-2023,9,9,3,101,23*,16.83,81,124.69,0,0,1,8,4
"(Gujarat Titans, Mumbai Indians)",,,,,,,,,,,,,,
SR Tendulkar,2010-2013,4,4,1,101,45,33.66,75,134.66,0,0,1,14,1
(Mumbai Indians),,,,,,,,,,,,,,
Harbhajan Singh,2008-2021,17,7,3,100,33,25,72,138.88,0,0,0,5,8
"(Chennai Super Kings, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
